order_id,date,day_of_week,product_id,product_name,category,quantity,unit_price,discount_pct,line_total,payment_method,order_channel,customer_id
1000,2025-01-01,Wednesday,P13,Bagel - Everything,Bread,1,2.5,0,2.5,upi,in-store,
1000,2025-01-01,Wednesday,P01,Sourdough Loaf,Bread,1,4.5,0,4.5,upi,in-store,
1000,2025-01-01,Wednesday,P11,Cupcake (single),Cake,1,3.25,0,3.25,upi,in-store,
1001,2025-01-01,Wednesday,P05,Pain au Chocolat,Pastry,2,3.5,0,7.0,cash,in-store,C0045
1002,2025-01-01,Wednesday,P03,Whole Wheat Loaf,Bread,1,4.75,15,4.04,upi,in-store,C0002
1003,2025-01-01,Wednesday,P06,Cinnamon Roll,Pastry,1,3.75,0,3.75,cash,in-store,
1004,2025-01-02,Thursday,P08,Chocolate Chip Cookie,Cookie,1,2.0,0,2.0,upi,catering,C0090
1004,2025-01-02,Thursday,P04,Croissant,Pastry,2,3.0,0,6.0,upi,catering,C0090
1004,2025-01-02,Thursday,P05,Pain au Chocolat,Pastry,1,3.5,0,3.5,upi,catering,C0090
1005,2025-01-02,Thursday,P08,Chocolate Chip Cookie,Cookie,1,2.0,0,2.0,upi,in-store,
1006,2025-01-02,Thursday,P13,Bagel - Everything,Bread,1,2.5,15,2.12,upi,in-store,
1006,2025-01-02,Thursday,P14,Rye Loaf,Bread,1,4.9,0,4.9,upi,in-store,
1007,2025-01-02,Thursday,P12,Bagel - Plain,Bread,2,2.25,0,4.5,upi,in-store,
1008,2025-01-02,Thursday,P05,Pain au Chocolat,Pastry,1,3.5,0,3.5,upi,in-store,
1008,2025-01-02,Thursday,P11,Cupcake (single),Cake,1,3.25,0,3.25,upi,in-store,
1008,2025-01-02,Thursday,P14,Rye Loaf,Bread,1,4.9,0,4.9,upi,in-store,
1009,2025-01-02,Thursday,P01,Sourdough Loaf,Bread,1,4.5,0,4.5,card,in-store,C0031
1010,2025-01-02,Thursday,P03,Whole Wheat Loaf,Bread,2,4.75,0,9.5,upi,in-store,C0121
1010,2025-01-02,Thursday,P05,Pain au Chocolat,Pastry,1,3.5,0,3.5,upi,in-store,C0121
1011,2025-01-02,Thursday,P13,Bagel - Everything,Bread,3,2.5,0,7.5,upi,in-store,
1012,2025-01-02,Thursday,P08,Chocolate Chip Cookie,Cookie,1,2.0,0,2.0,card,in-store,
1013,2025-01-02,Thursday,P07,Blueberry Muffin,Pastry,2,2.75,0,5.5,upi,in-store,C0003
1014,2025-01-02,Thursday,P06,Cinnamon Roll,Pastry,1,3.75,0,3.75,upi,in-store,C0013
1015,2025-01-02,Thursday,P06,Cinnamon Roll,Pastry,1,3.75,0,3.75,upi,in-store,C0044
1016,2025-01-02,Thursday,P06,Cinnamon Roll,Pastry,1,3.75,0,3.75,cash,in-store,C0025
1017,2025-01-03,Friday,P08,Chocolate Chip Cookie,Cookie,1,2.0,0,2.0,card,online,C0075
1018,2025-01-03,Friday,P07,Blueberry Muffin,Pastry,1,2.75,0,2.75,cash,in-store,
